"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 16:29:07 MSK 2025","Mon Jul 21 16:29:08 MSK 2025","235","tests","test_courier_creation","TestCourierCreation","","","Проверка обязательных полей: password",""
"passed","Mon Jul 21 16:29:06 MSK 2025","Mon Jul 21 16:29:07 MSK 2025","988","tests","test_courier_creation","TestCourierCreation","","","Попытка создания дубликата курьера",""
"passed","Mon Jul 21 16:29:07 MSK 2025","Mon Jul 21 16:29:07 MSK 2025","181","tests","test_courier_creation","TestCourierCreation","","","Проверка обязательных полей: login",""
"passed","Mon Jul 21 16:30:11 MSK 2025","Mon Jul 21 16:30:15 MSK 2025","3653","tests","test_orders_list","TestOrdersList","","","Получение списка заказов",""
"passed","Mon Jul 21 16:29:09 MSK 2025","Mon Jul 21 16:30:10 MSK 2025","60185","tests","test_courier_login","TestCourierLogin","","","Попытка авторизации без поля: password",""
"passed","Mon Jul 21 16:29:05 MSK 2025","Mon Jul 21 16:29:06 MSK 2025","977","tests","test_courier_creation","TestCourierCreation","","","Успешное создание курьера","Проверка что курьер может быть успешно создан"
"passed","Mon Jul 21 16:30:10 MSK 2025","Mon Jul 21 16:30:11 MSK 2025","226","tests","test_order_creation","TestOrderCreation","","","Создание заказа с цветами: ['BLACK']",""
"passed","Mon Jul 21 16:30:11 MSK 2025","Mon Jul 21 16:30:11 MSK 2025","299","tests","test_order_creation","TestOrderCreation","","","Создание заказа с цветами: ['GREY']",""
"passed","Mon Jul 21 16:30:10 MSK 2025","Mon Jul 21 16:30:10 MSK 2025","176","tests","test_courier_login","TestCourierLogin","","","Авторизация с неверными учетными данными",""
"passed","Mon Jul 21 16:29:09 MSK 2025","Mon Jul 21 16:29:09 MSK 2025","220","tests","test_courier_login","TestCourierLogin","","","Попытка авторизации без поля: login",""
"passed","Mon Jul 21 16:30:11 MSK 2025","Mon Jul 21 16:30:11 MSK 2025","206","tests","test_order_creation","TestOrderCreation","","","Создание заказа с цветами: ['BLACK', 'GREY']",""
"passed","Mon Jul 21 16:30:11 MSK 2025","Mon Jul 21 16:30:11 MSK 2025","187","tests","test_order_creation","TestOrderCreation","","","Создание заказа с цветами: []",""
"passed","Mon Jul 21 16:29:08 MSK 2025","Mon Jul 21 16:29:08 MSK 2025","161","tests","test_courier_login","TestCourierLogin","","","Успешная авторизация",""
